ChEMBL ID,DrugBank ID,Name,ATC code(s),ATC therapeutic group,ATC status,pKa (acidic),SMILES,pKa (basic),pKa (exp.)_1,pKa (exp.)_2,pKa_comment,logP (pred.),logP (exp.),DyeLeS score,Fluorescent,First approval (year),Oral,MW,TPSA,HBD,HBA,lipinski_violations,lipinski_pass,ABCB1_Pgp_CHEMBL
CHEMBL1201266,DB06794,Lodoxamide,S01GX05,Органы чувств,Success,-6.7,OC(=O)C(=O)NC1=CC(=CC(NC(=O)C(O)=O)=C1Cl)C#N,0.73,,,,0.72,,-1.155821642,False,1993.0,0.0,311.64,156.59,4.0,5.0,1,True,
CHEMBL1089641,DB09158,Trypan blue free acid,S01KX02,Органы чувств,Success,-4.2,CC1=CC(=CC=C1\N=N\C1=C(C=C2C=C(C=C(N)C2=C1O)S(O)(=O)=O)S(O)(=O)=O)C1=CC(C)=C(C=C1)\N=N\C1=C(O)C2=C(N)C=C(C=C2C=C1S(O)(=O)=O)S(O)(=O)=O,2.38,,,,-0.04,,0.03589401146,False,2004.0,0.0,872.89,359.42,8.0,16.0,4,False,
CHEMBL1200830,DB13257,Ferrous sulfate anhydrous,B03AA07,Кровь и органы кроветворения,Success,-3.0,[Fe++].[O-]S([O-])(=O)=O,1.9,-3.0,,-3,-0.84,-0.84,0.4939795882,False,,,151.91,80.26,0.0,4.0,0,True,
CHEMBL4073796,DB00686,Pentosan polysulfate,C05BA51; C05BA04; G04BX15,Сердечно-сосудистая система,No Drug Record,-2.9,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O,-3.6,,,,-2.5,-8.0,-0.6280369646,False,,,602.5,322.55,6.0,17.0,4,False,
CHEMBL1091250,DB11577,Indigotindisulfonic acid,V04CH02,Прочие препараты,Success,-2.8,OS(=O)(=O)C1=CC2=C(N\C(C2=O)=C2\NC3=C(C=C(C=C3)S(O)(=O)=O)C2=O)C=C1,-7.7,,,,-0.94,,0.008510110514,False,2022.0,0.0,422.4,166.94,4.0,8.0,1,True,
CHEMBL451,DB00475,Chlordiazepoxide,N05BA02,Нервная система,Success,-2.7,CNC1=NC2=C(C=C(Cl)C=C2)C(C2=CC=CC=C2)=[N+]([O-])C1,7.06,4.8,,4.8,2.01,2.44,-0.4278261194,False,1960.0,1.0,299.76,50.46,1.0,3.0,0,True,
,DB13967,Patent Blue,V04CX09,Прочие препараты,,-2.6,CCN(CC)C1=CC=C(C=C1)C(=C1C=CC(C=C1)=[N+](CC)CC)C1=C(C=C(C(O)=C1)S(O)(=O)=O)S(O)(=O)=O,5.33,7.63,,7.63,-0.5,-1.82,0.3108431769,False,,,561.7,135.22,3.0,6.0,1,True,
,DB17084,Gadopiclenol,V08CA12,Прочие препараты,,-2.5,[Gd+3].OCC(O)CNC(=O)CCC(N1CCN(CC2=CC=CC(CN(CC1)C(CCC(=O)NCC(O)CO)C([O-])=O)=N2)C(CCC(=O)NCC(O)CO)C([O-])=O)C([O-])=O,7.51,,,,-0.53,,-0.3889236756,False,,,970.1,351.68,9.0,19.0,4,False,
CHEMBL1741134,DB09268,Picosulfuric acid,A06AB58; A06AB08,ЖКТ и обмен веществ,Success,-2.5,OS(=O)(=O)OC1=CC=C(C=C1)C(C1=CC=C(OS(O)(=O)=O)C=C1)C1=CC=CC=N1,4.08,,,,-0.05,,-0.08715735177,False,2012.0,1.0,437.45,140.09,2.0,7.0,1,True,
CHEMBL457547,DB01141,Micafungin,J02AX05,Противомикробные (системные),Success,-2.2,CCCCCOC1=CC=C(C=C1)C1=CC(=NO1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC(OS(O)(=O)=O)=C(O)C=C1)[C@H](O)CC(N)=O,-3.6,,,,0.67,-1.5,-1.891790271,False,,,1270.29,510.14,16.0,23.0,4,False,
